user_preferences;workout_plan;user_feedback
{'days': 3, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['push', 'legs', 'pull', 'abs']};[{'day': 'Push Day 1', 'exercises': ['Smith Machine Close-grip Bench Press', 'Shoulder Press, Dumbbells', 'Cable Rear Delt Fly', 'Yoga exercise: Cow-cat', 'Isometric Wipers', 'Bench Press Narrow Grip']}, {'day': 'Pull Day 1', 'exercises': ['TRX hammer curl - biceps', 'Reverse Grip Barbell Curls', 'Leverage Machine Iso Row', 'Back extensión', 'Band pull-aparts', 'Scorpion Kick']}, {'day': 'Leg Day', 'exercises': ['Squats', 'Weighted Step-ups', 'Leg Raise', 'Barbell Hack Squats', 'Cossack squat', 'Kettlebell Swings']}, {'day': 'Abs Day', 'exercises': ['Crunches With Legs Up', 'Bauchtrainer', 'Side Crunch', 'Reverse Plank', 'Sit-Ups (conventional)', 'Seated Knee Tuck']}, {'day': 'Cardio Day', 'exercises': ['Running', 'High knees', 'Swimming 50m sprints', 'Jogging', 'Zone 2 Running', '3D lunge warmup']}];{'satisfaction': 1, 'progress': 3, 'adherence': 3, 'effectiveness': 6}
{'days': 4, 'split': 'push-pull', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['abs', 'push']};[{'day': 'Push Day 1', 'exercises': ['Power Clean', 'Smith Machine Close-grip Bench Press', 'Machine chest fly', 'Dumbbell Bent Over Row', 'Hercules Pillars', 'Bent-over Lateral Raises']}, {'day': 'Push Day 2', 'exercises': ['Shoulder Press, Dumbbells', 'Dumbbell rear delt row', 'Pullover', 'Landmine press', 'Cable Fly', 'Cross-Bench Dumbbell Pullovers']}, {'day': 'Abs Day', 'exercises': ['Lying Leg Raise', 'Crunches on Machine', 'Negative Crunches', 'Bauchtrainer', 'Bird dog', 'TRX roll out']}];{'satisfaction': 5, 'progress': 1, 'adherence': 4, 'effectiveness': 9}
{'days': 5, 'split': 'push-pull', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['pull', 'push', 'legs']};"[{'day': 'Push Day 1', 'exercises': ['Dips Between Two Benches', 'Triceps Dips (Assisted)', 'Horizontal traction isometry', 'Incline Dumbbell Fly', 'Frog stand', 'Wall Handstand']}, {'day': 'Push Day 2', 'exercises': ['Rear Delt Raises', 'Trazioni orizzontali', 'High-Cable Cross Tricep Extention - NB', 'Power Clean', 'Skullcrusher SZ-bar', 'Jerk OL']}, {'day': 'Pull Day 1', 'exercises': ['Seated W Curl', 'Front Lever', 'Forward shoulder rotation', 'Cable Row', 'Front Pull narrow', 'Remo Gironda']}, {'day': 'Pull Day 2', 'exercises': ['Reverse EZ Bar Cable Curls', 'Dumbbell Incline Curl', 'Back neck stretch', 'one-handed kettlebell curls', 'Deadlifts', ""Child's pose""]}, {'day': 'Leg Day', 'exercises': ['Sitting Calf Stretch (Dorsiflexion)', 'Legs Abductors', 'Romanian Deadlift', 'Leg Extension', 'Lateral Push Off', 'Seated Hip Adduction']}]";{'satisfaction': 9, 'progress': 9, 'adherence': 8, 'effectiveness': 9}
{'days': 3, 'split': 'full-body', 'goals': 'general', 'cardio': False, 'muscles': ['push', 'abs', 'pull', 'legs']};[{'day': 'Push Day 1', 'exercises': ['Barbell Triceps Extension', 'Triceps Pushdown', 'Pullover Machine', 'Left neck stretch', 'Cable External Rotation', 'Triceps stretch right']}, {'day': 'Pull Day 1', 'exercises': ['Walking', 'Close-grip Lat Pull Down', 'Dumbbell Row', 'Biceps Curls With SZ-bar', 'Meadows Row', 'Jalón abierto']}, {'day': 'Leg Day', 'exercises': ['Side Slides + Squats', 'Romanian Deadlift', 'Dumbbell sumo deadlift', 'Split squats left', 'Calf Press Using Leg Press Machine', 'Hamstring Chokes']}, {'day': 'Abs Day', 'exercises': ['Abdominal Stabilization', 'Medicine ball booklet crunch', 'Crunches on Machine', 'Seated Knee Tuck', 'L Hold', 'Barbell Ab Rollout']}];{'satisfaction': 3, 'progress': 3, 'adherence': 5, 'effectiveness': 4}
{'days': 5, 'split': 'full-body', 'goals': 'fat_loss', 'cardio': True, 'muscles': ['legs', 'push', 'pull', 'abs']};[{'day': 'Push Day 1', 'exercises': ['Incline Dumbbell Press', 'Upright Row, on Multi Press', 'Biceps Close Grip Pull Down', 'Low Pulley Cable fFly', 'Dragon-flag', 'Pull Ups on Machine']}, {'day': 'Push Day 2', 'exercises': ['Torso rotation strech', 'Decline Pushups', 'Decline Bench Press Barbell', 'Dumbbell Lateral Raise', 'Close-grip Press-ups', 'PRESS HORIZONTAL']}, {'day': 'Pull Day 1', 'exercises': ['scorpion kick', 'Sit & Reach', 'Dumbbell bicep curl to press', 'Chin-ups', 'Chin tuck', 'Renegade Row']}, {'day': 'Pull Day 2', 'exercises': ['Reverse Grip Barbell Curls', 'LYING DUMBBELL ROW SS SEATED SHRUG', 'Curl Araña', 'Cable Concentration Curl', 'Hammercurls', 'Incline Dumbbell Row']}, {'day': 'Leg Day', 'exercises': ['Cossack squat', 'Overhead Squat', 'Leg Curls (sitting)', 'Crossbody Leg Swings', 'ClimbMill', 'Squat box']}, {'day': 'Abs Day', 'exercises': ['Flutter Kicks', 'Side Bends on Machine', 'Roman Chair', 'Hanging Leg Raises', 'Deadbug', 'Abdominales sovieticas']}, {'day': 'Cardio Day', 'exercises': ['Running', 'Stationary Bike', '3D lunge warmup', 'Cycling cardio session', 'High knees', 'Swimming 50m sprints']}];{'satisfaction': 8, 'progress': 9, 'adherence': 7, 'effectiveness': 8}
{'days': 3, 'split': 'full-body', 'goals': 'general', 'cardio': True, 'muscles': ['pull']};[{'day': 'Pull Day 1', 'exercises': ['Trazioni impugnatura inversa', 'Blackroll', 'Scapula Pulls', 'Dumbbell drag curls', 'Biceps Curls (Dumbbell)', 'Biceps Curls With Dumbbell']}, {'day': 'Cardio Day', 'exercises': ['Zone 2 Running', 'Run - Treadmill', 'Run - Interval Training', 'Stationary Bike', '3D lunge warmup', 'Running']}];{'satisfaction': 3, 'progress': 1, 'adherence': 2, 'effectiveness': 1}
{'days': 4, 'split': 'full-body', 'goals': 'fat_loss', 'cardio': False, 'muscles': ['pull', 'push']};[{'day': 'Push Day 1', 'exercises': ['Press de banca sentado', 'Butterfly Narrow Grip', 'Smith Machine Close-grip Bench Press', 'Chest Press', 'Push-Ups', 'PRESS HORIZONTAL']}, {'day': 'Push Day 2', 'exercises': ['Push-Ups | Decline', 'Single Arm Plank to Row', 'Straight Bar Cable Front Raise', 'Bag training', 'Pendelay Rows', 'Front lever pull-up']}, {'day': 'Pull Day 1', 'exercises': ['Dumbbell Concentration Curl', 'Front neck stretch', 'Hip Raise, Lying', 'Trunk Rotation With Cable', 'Prone Scapular Retraction - Arms at Side', 'Straight Bar Cable Curls']}, {'day': 'Pull Day 2', 'exercises': ['Rack Deadlift', 'Neck half circles', 'Dumbbell wide bicep curls', 'TRX hammer curl - biceps', 'Lat Pull Down (Leaning Back)', 'Rowing with TRX band']}];{'satisfaction': 3, 'progress': 2, 'adherence': 1, 'effectiveness': 7}
{'days': 6, 'split': 'push-pull', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['legs', 'abs']};[{'day': 'Leg Day', 'exercises': ['Legs Abductors', 'Leg Curls (laying)', 'Low Box Squat - Wide Stance', 'Side split squats left', 'Leg Curls (sitting)', 'Side split squats right']}, {'day': 'Abs Day', 'exercises': ['Crunches', 'Sit-Ups (elbow to knee)', 'Hanging Leg Raises', 'Seated Knee Tuck', 'Lying Leg Raise', 'Plate twist']}, {'day': 'Cardio Day', 'exercises': ['Run - Interval Training', 'Stationary Bike', 'Jogging', 'High knees', 'Cycling cardio session', 'Swimming 50m sprints']}];{'satisfaction': 9, 'progress': 9, 'adherence': 7, 'effectiveness': 8}
{'days': 3, 'split': 'push-pull', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['push']};[{'day': 'Push Day 1', 'exercises': ['Dumbbell Bent Over Row', 'Fly With Dumbbells, Decline Bench', 'Head turns', 'TRX Tricep Extension', 'Machine chest fly', 'Pistol Squat']}];{'satisfaction': 5, 'progress': 1, 'adherence': 4, 'effectiveness': 4}
{'days': 4, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['legs', 'pull', 'abs', 'push']};[{'day': 'Push Day 1', 'exercises': ['Triceps stretch right', 'Lying Rotator Cuff Exercise', 'Triceps Overhead (Dumbbell)', 'Front Plate Raise', 'Close-grip Press-ups', 'Seated Triceps Press']}, {'day': 'Push Day 2', 'exercises': ['Plank-to-Elbow Extension', 'Aperturas en polea', 'Triceps Overhead (Dumbbell)', 'Incline Dumbbell Press', 'Cable External Rotation', 'Upright Row w/ Dumbbells']}, {'day': 'Pull Day 1', 'exercises': ['One Arm Bent Row', 'Biceps Curls With Barbell', 'YWTs', 'Counterclockwise neck circles', 'Ice Scream maker', 'Jalón cerrado']}, {'day': 'Pull Day 2', 'exercises': ['Seated Cable Row', 'Front Wood Chop', 'Iperestensioni Lombari', 'Head tilts', 'Reverse Curl', 'Biceps Curls With Barbell']}, {'day': 'Leg Day', 'exercises': ['Standing Calf Raise', 'Single Leg RDL', 'Leg Raise', 'Leg raises pull up bar', 'Plank with Alternating Leg Lift', 'Legs Abductors']}, {'day': 'Abs Day', 'exercises': ['Flutter Kicks', 'Plate twist', 'Incline Plank With Alternate Floor Touch', 'Reach ups', 'Planche dynamique', 'Side Crunch']}];{'satisfaction': 2, 'progress': 5, 'adherence': 2, 'effectiveness': 9}
{'days': 3, 'split': 'upper-lower', 'goals': 'general', 'cardio': False, 'muscles': ['pull', 'abs']};[{'day': 'Pull Day 1', 'exercises': ['Lower Back Extensions', 'Backward shoulder rotation', 'Jalón cerrado', 'Cycling', 'Neck half circles', 'LYING DUMBBELL ROW SS SEATED SHRUG']}, {'day': 'Abs Day', 'exercises': ['Sit-ups', 'Roman Chair', 'Hollow Hold', 'Crunches', 'Leg Raises, Lying', 'Medicine ball booklet crunch']}];{'satisfaction': 3, 'progress': 1, 'adherence': 3, 'effectiveness': 2}
{'days': 5, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': False, 'muscles': ['pull', 'push']};[{'day': 'Push Day 1', 'exercises': ['TRX dips', 'High Pull', 'Cable Fly', 'Australian pull-ups', 'Schoulder Raise (Dumbbell)', 'Tricep Dumbbell Kickback']}, {'day': 'Push Day 2', 'exercises': ['Skullcrusher Dumbbells', 'Straight-arm Pull Down (bar Attachment)', 'Upright Row, SZ-bar', 'Yoga exercise: Cow-cat', 'Handstand Push Up', 'Clean and Jerk OL']}, {'day': 'Pull Day 1', 'exercises': ['Alternating Biceps Curls With Dumbbell', 'Chin Up', 'Counterclockwise neck circles', 'Incline Chest-Supported Dumbbell Row', 'Front neck stretch', 'Bent over row to external rotation']}, {'day': 'Pull Day 2', 'exercises': ['Rowing, Lying on Bench', 'Band pull-aparts', 'Dumbbell Hang Power Cleans', 'V-Bar Pulldown', 'Leverage Machine Iso Row', 'Dumbbell Row']}];{'satisfaction': 7, 'progress': 9, 'adherence': 8, 'effectiveness': 9}
{'days': 4, 'split': 'full-body', 'goals': 'general', 'cardio': False, 'muscles': ['pull', 'legs', 'abs']};"[{'day': 'Pull Day 1', 'exercises': ['Lat Pull Down (Straight Back)', 'Rack Deadlift', 'JALONES PECHO NEUTRO', 'YWTs', 'Lat Pull Down (close grip)', 'Straight Bar Cable Curls']}, {'day': 'Pull Day 2', 'exercises': ['Curl Araña', ""Child's pose"", 'Front Lever', 'Reverse Bar Curl', 'Remo maquina abierto supino', 'Dumbbell wide bicep curls']}, {'day': 'Leg Day', 'exercises': ['Alternate back lunges', 'Leg Presses (narrow)', 'Hip Thrust', 'Crossbody Leg Swings', 'Dumbbell Deadlift', 'Prisoner Squat']}, {'day': 'Abs Day', 'exercises': ['Crunches With Cable', 'Bauchtrainer', 'Lying Leg Raise', 'Cable Woodchoppers', 'Scissors', 'Heel Touches']}]";{'satisfaction': 2, 'progress': 1, 'adherence': 4, 'effectiveness': 9}
{'days': 3, 'split': 'upper-lower', 'goals': 'fat_loss', 'cardio': False, 'muscles': ['pull']};[{'day': 'Pull Day 1', 'exercises': ['Rowing, Seated', 'Lat Pull DB', 'scorpion kick', 'Clean', 'Isometria trazioni impugnatura inversa', 'Seated Cable Rows']}];{'satisfaction': 2, 'progress': 3, 'adherence': 1, 'effectiveness': 1}
{'days': 4, 'split': 'upper-lower', 'goals': 'general', 'cardio': True, 'muscles': ['push', 'legs', 'pull']};[{'day': 'Push Day 1', 'exercises': ['Kreis Press DB', 'Pseudo Planche Push-up', 'Bag training', 'Claps over the head', 'Rear Delt Raises', 'Wall Pushup']}, {'day': 'Push Day 2', 'exercises': ['Triceps Dips (Assisted)', 'Incline Dumbbell Fly', 'Pin OHP', 'Front Raises', 'Snach', 'Incline Push up']}, {'day': 'Pull Day 1', 'exercises': ['Dumbbell Row', 'Hammercurls on Cable', 'Lat Pull DB', 'Front Wood Chop', 'Seated Dumbbell Curls', 'Biceps concentrado martillo (maquina)']}, {'day': 'Pull Day 2', 'exercises': ['Dumbbell bicep curl to press', 'Deadlifts', 'Jalón cerrado', 'Biceps concentrado martillo (maquina)', 'Incline Chest-Supported Dumbbell Row', 'TRX hammer curl - biceps']}, {'day': 'Leg Day', 'exercises': ['Side split squats left', 'Elevación de talón sentados', 'Squat Thrust', 'Leg Curls (sitting)', 'Sumo Deadlifts (Barbell)', 'Leg Press on Hackenschmidt Machine']}, {'day': 'Cardio Day', 'exercises': ['Jogging', 'Swimming 50m sprints', 'Cycling cardio session', 'Zone 2 Running', 'Jump rope: basic jumps', 'Run']}];{'satisfaction': 4, 'progress': 0, 'adherence': 0, 'effectiveness': 8}
{'days': 5, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['abs', 'legs', 'pull', 'push']};[{'day': 'Push Day 1', 'exercises': ['Australian pull-ups', 'Dumbbell Shoulder Rotations', 'Overhead Press', 'Bag training', 'BlahBlah', 'High-Cable Cross Tricep Extention - NB']}, {'day': 'Push Day 2', 'exercises': ['Dumbbell Front Raise', 'BlahBlah', 'Front lever tuck', 'Push Ups', 'Cobra Stretch', 'Straight-arm Pull Down (rope Attachment)']}, {'day': 'Pull Day 1', 'exercises': ['One Arm Bent Row', 'Incline Chest-Supported Dumbbell Row', 'Remo Gironda', 'Elevated prayer stretch', 'Arco femorale una gamba', 'Curl with kettlebell two hands']}, {'day': 'Pull Day 2', 'exercises': ['Walking', 'Blackroll', 'Trazioni impugnatura inversa', 'Ice Scream maker', 'Long-Pulley (low Row)', 'Reverse Preacher Curl (Close Grip)']}, {'day': 'Leg Day', 'exercises': ['Leg Presses (narrow)', 'Reverse Nordic Curl', 'Calf Raise with machine (seated)', 'Single Leg Extension', 'box jumps', 'Barbell Hack Squats']}, {'day': 'Abs Day', 'exercises': ['TORSO TWIST', 'Bauchtrainer', 'L Hold', 'Kopfüber Gewichtaufheben', 'Hanging Leg Raises', 'Dumbbell Crunches']}, {'day': 'Cardio Day', 'exercises': ['3D lunge warmup', 'Swimming 50m sprints', 'Run - Interval Training', 'High knees', 'Running', 'Run - Treadmill']}];{'satisfaction': 8, 'progress': 8, 'adherence': 6, 'effectiveness': 9}
{'days': 3, 'split': 'full-body', 'goals': 'fat_loss', 'cardio': True, 'muscles': ['abs']};[{'day': 'Abs Day', 'exercises': ['Scissors', 'Lying Leg Raise', 'Plate twist', 'Crunches HD', 'Bauchtrainer', 'Dynamic side hold']}, {'day': 'Cardio Day', 'exercises': ['3D lunge warmup', 'Zone 2 Running', 'Swimming 50m sprints', 'Run - Interval Training', 'Stationary Bike', 'Run - Treadmill']}];{'satisfaction': 4, 'progress': 2, 'adherence': 3, 'effectiveness': 5}
{'days': 4, 'split': 'full-body', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['pull', 'push', 'abs', 'legs']};[{'day': 'Push Day 1', 'exercises': ['Right neck stretch', 'Pseudo Planche Push-up', 'Lateral Rows on Cable, One Armed', 'Smith Machine Close-grip Bench Press', 'Horizontal traction isometry', 'Turkish Get-Up']}, {'day': 'Push Day 2', 'exercises': ['Bent Over Rowing', 'Head turns', 'Oblicuos en TRX', 'Upright Row, SZ-bar', 'Push-Ups | Incline', 'Arnold Shoulder Press']}, {'day': 'Pull Day 1', 'exercises': ['Reverse Preacher Curl (Close Grip)', 'YWTs', 'Jalón abierto supino', 'Cycling', 'Lower Back Extensions', 'Rowing with TRX band']}, {'day': 'Pull Day 2', 'exercises': ['Chin tuck', 'Incline Chest-Supported Dumbbell Row', 'Sit & Reach', 'Biceps Curls With Dumbbell', 'one-handed kettlebell curls', 'Overhand Cable Curl']}, {'day': 'Leg Day', 'exercises': ['Squat box', 'Side Slides + Squats', 'Plantarflexion Stretch with Band', 'Lateral Push Off', 'Plank with Alternating Leg Lift', 'Split squats left']}, {'day': 'Abs Day', 'exercises': ['Crunches With Cable', 'Negative Crunches', 'Bird dog', 'Sit-ups', 'Plate twist', 'Incline Crutches']}, {'day': 'Cardio Day', 'exercises': ['Run - Treadmill', 'Swimming 50m sprints', 'High knees', 'Jump rope: basic jumps', 'Jogging', 'Running']}];{'satisfaction': 5, 'progress': 1, 'adherence': 2, 'effectiveness': 10}
{'days': 3, 'split': 'upper-lower', 'goals': 'muscle_building', 'cardio': True, 'muscles': ['push', 'legs', 'abs']};[{'day': 'Push Day 1', 'exercises': ['Pullover', 'Cross-Bench Dumbbell Pullovers', 'SMITH MACHINE SLIGHT INCLINE PRESS', 'Power Clean', 'Push Ups', 'Front pull wide']}, {'day': 'Leg Day', 'exercises': ['Single Leg Extension', 'Dumbbell sumo deadlift', 'Reverse Nordic Curl', 'Hip Thrust', 'Dumbbell Single-leg Hip Thrust', 'Elephant Walks']}, {'day': 'Abs Day', 'exercises': ['Cable Woodchoppers', 'Flutter Kicks', 'Reach ups', 'Crunches', 'Heel Touches', 'Lying Leg Raise']}, {'day': 'Cardio Day', 'exercises': ['Run - Treadmill', 'High knees', 'Cycling cardio session', 'Run - Interval Training', 'Jogging', 'Running']}];{'satisfaction': 1, 'progress': 0, 'adherence': 4, 'effectiveness': 6}
